Module	Section	Sample Name	Source
FastQC	all_sections	SRR23609077_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609077_1_fastqc.zip
FastQC	all_sections	SRR23609077_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609077_2_fastqc.zip
FastQC	all_sections	SRR23609078_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609078_1_fastqc.zip
FastQC	all_sections	SRR23609078_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609078_2_fastqc.zip
FastQC	all_sections	SRR23609079_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609079_1_fastqc.zip
FastQC	all_sections	SRR23609079_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609079_2_fastqc.zip
FastQC	all_sections	SRR23609080_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609080_1_fastqc.zip
FastQC	all_sections	SRR23609080_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609080_2_fastqc.zip
FastQC	all_sections	SRR23609081_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609081_1_fastqc.zip
FastQC	all_sections	SRR23609081_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609081_2_fastqc.zip
FastQC	all_sections	SRR23609082_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609082_1_fastqc.zip
FastQC	all_sections	SRR23609082_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609082_2_fastqc.zip
FastQC	all_sections	SRR23609083_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609083_1_fastqc.zip
FastQC	all_sections	SRR23609083_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609083_2_fastqc.zip
FastQC	all_sections	SRR23609084_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609084_1_fastqc.zip
FastQC	all_sections	SRR23609084_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609084_2_fastqc.zip
FastQC	all_sections	SRR23609085_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609085_1_fastqc.zip
FastQC	all_sections	SRR23609085_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609085_2_fastqc.zip
FastQC	all_sections	SRR23609086_1	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609086_1_fastqc.zip
FastQC	all_sections	SRR23609086_2	/Users/mago/Library/CloudStorage/OneDrive-Osobisty/24_25_PJATK_Bioinformatyka/PJATK_Zarzadzanie_procesami_w_analizie_danych/PRODATA_projekt/results/quality_reports/SRR23609086_2_fastqc.zip
